纲领编号,纲领,"2022-23
(实际)
(百万元)","2023-24
(原来预算)
(百万元)","2023-24
(修订)
(百万元)","2024-25
(预算)
(百万元)"
1,防止贪污,91.5,100.8,101.3,97.2
2,执法工作,1013.7,1031.8,1067.2,1080.9
3,倡廉教育,93.8,99.6,99.9,105.6
4,争取支持,93.8,99.6,99.9,105.6
