《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A00,霍乱,7,0,0,7,0,0,0,0
A01,伤寒和副伤寒,24,0,8,32,0,0,0,0
A03,志贺菌病,6,0,9,15,0,0,0,0
A06,阿米巴病,12,0,5,17,0,0,0,0
"A02, A04-A05, A07-A08",其他肠道传染病,4401,0,2255,6656,9,18,0,27
A09,其他传染性或未特指病因的胃肠炎和结肠炎,13926,33,5009,18968,16,11,0,27
A15-A16,呼吸道结核病,3410,7,145,3562,100,33,0,133
A17-A19,其他结核病,528,1,31,560,17,8,0,25
A20,鼠疫,0,0,0,0,0,0,0,0
A23,布鲁氏菌病,14,0,1,15,0,1,0,1
A30,麻风,1,0,0,1,0,0,0,0
A33,新生儿破伤风,0,0,0,0,0,0,0,0
A34-A35,其他破伤风,0,0,0,0,0,0,0,0
A36,白喉,5,0,0,5,0,0,0,0
A37,百日咳,24,0,5,29,0,0,0,0
A39,脑膜炎球菌感染,3,0,1,4,1,0,0,1
A40-A41,败血病,12014,0,308,12322,490,480,0,970
"A21-A22, A24-A28, A31-A32, A38, A42-A49",其他细菌性疾病,2874,0,520,3394,15,4,0,19
A50,先天性梅毒,2,0,3,5,0,0,0,0
A51,早期梅毒,6,,0,6,0,0,0,0
A52-A53,其他梅毒,227,0,4,231,1,0,0,1
A54,淋球菌感染,4,0,0,4,0,0,0,0
A55-A56,性传播的衣原体疾病,8,0,0,8,0,0,0,0
A57-A64,其他主要为性传播模式的感染,136,0,92,228,0,0,0,0
A68,回归热,0,0,0,0,0,0,0,0
A71,沙眼,0,0,0,0,0,0,0,0
A75,斑疹伤寒,34,0,0,34,0,1,0,1
A80,急性脊髓灰质炎,1,0,1,2,0,0,0,0
A82,狂犬病,0,0,0,0,0,0,0,0
A83-A86,病毒性脑炎,16,0,5,21,2,2,0,4
A95,黄热病,0,0,0,0,0,0,0,0
"A90-A94, A96-A99",其他节肢动物媒介的病毒性发热和病毒性出血热,106,0,21,127,0,0,0,0
B00,疱疹病毒感染,347,1,60,408,2,0,0,2
B01-B02,水痘和带状疱疹,1595,26,214,1835,2,2,0,4
B05,麻疹,7,0,0,7,0,0,0,0
B06,风疹,2,0,0,2,0,0,0,0
B15,急性甲型肝炎,59,0,21,80,0,0,0,0
B16,急性乙型肝炎,270,0,43,313,19,9,0,28
B17,其他急性病毒性肝炎,110,0,28,138,0,2,0,2
B18,慢性病毒性肝炎,1098,0,25,1123,20,5,0,25
B19,未特指的病毒性肝炎,17,1,30,48,1,2,0,3
B20-B24,人类免疫缺陷病毒病,509,0,8,517,14,2,0,16
B26,流行性腮腺炎,3,0,7,10,0,0,0,0
"A81, A87-A89, B03-B04, B07-B09, B25, B27-B34",其他病毒性疾病,9915,2,4314,14231,6,15,0,21
B35-B49,霉菌病,439,0,69,508,14,11,0,25
B50-B54,疟疾,38,0,2,40,0,0,0,0
B55,利什曼病,0,0,0,0,0,0,0,0
B56-B57,锥虫病,0,0,0,0,0,0,0,0
B65,血吸虫病,3,0,0,3,0,0,0,0
B66,其他吸虫感染,3,0,1,4,0,0,0,0
B67,棘球蚴病,0,0,1,1,0,0,0,0
B72,麦地那丝虫病,0,0,0,0,0,0,0,0
B73,盘尾丝虫病,0,0,0,0,0,0,0,0
B74,丝虫病,1,0,0,1,0,0,0,0
B76,钩虫病,0,0,0,0,0,0,0,0
"B68-B71, B75, B77-B83",其他蠕虫病,19,0,4,23,1,0,0,1
B90,结核病后遗症,165,0,0,165,1,1,0,2
B91,脊髓灰质炎后遗症,4,0,0,4,0,0,0,0
B92,麻风后遗症,0,0,0,0,0,0,0,0
"A65-A67, A69-A70, A74, A77-A79, B58-B64, B85-B89, B94, B98-B99",其他传染病和寄生虫病,345,8,18,371,7,3,0,10
C11,鼻咽恶性肿瘤,6190,0,593,6783,252,75,0,327
"C00-C10, C12-C14",唇、口腔和咽(鼻咽除外)恶性肿瘤,2262,0,314,2576,151,72,0,223
C15,食管恶性肿瘤,2226,0,209,2435,273,62,0,335
C16,胃恶性肿瘤,5019,0,692,5711,427,283,0,710
C18,结肠恶性肿瘤,17537,3,2108,19648,803,629,0,1432
C19-C21,直肠乙状结肠连接处、直肠、肛门和肛管恶性肿瘤,12601,1,1160,13762,405,252,0,657
C22,肝和肝内胆管恶性肿瘤,8906,0,1070,9976,1135,405,0,1540
C25,胰恶性肿瘤,3725,0,598,4323,368,310,0,678
"C17, C23-C24, C26",消化器官其他恶性肿瘤,1290,0,178,1468,124,119,0,243
C32,喉恶性肿瘤,574,0,69,643,58,2,0,60
C33-C34,气管、支气管和肺恶性肿瘤,24657,4,2575,27236,2529,1251,0,3780
"C30-C31, C37-C39",呼吸和胸腔内器官其他恶性肿瘤,735,0,67,802,25,16,0,41
C40-C41,骨和软骨恶性肿瘤,381,0,62,443,9,10,0,19
C43,皮肤恶性黑色素瘤,214,0,51,265,21,26,0,47
C44,皮肤其他恶性肿瘤,764,0,159,923,13,7,0,20
C45-C49,间皮组织和软组织恶性肿瘤,2414,0,232,2646,85,88,0,173
C50,乳房恶性肿瘤,35077,0,3474,38551,2,702,0,704
C53,宫颈恶性肿瘤,3519,0,303,3822,0,151,0,151
C54-C55,子宫其他和未特指部位的恶性肿瘤,3456,0,606,4062,0,175,0,175
"C51-C52, C56-C58",女性生殖器官其他恶性肿瘤,5183,0,602,5785,0,267,0,267
C61,前列腺恶性肿瘤,4254,0,791,5045,410,0,0,410
"C60, C62-C63",男性生殖器官其他恶性肿瘤,440,0,77,517,9,0,0,9
C67,膀胱恶性肿瘤,3726,0,590,4316,163,58,0,221
"C64-C66, C68",泌尿道其他恶性肿瘤,1120,0,368,1488,148,76,0,224
C69,眼和附器恶性肿瘤,342,0,6,348,1,0,0,1
C71,脑恶性肿瘤,1045,0,163,1208,60,43,0,103
"C70, C72",中枢神经系统其他部位的恶性肿瘤,78,0,39,117,0,3,0,3
"C73-C80, C97",其他、不明确、继发、未特指及多部位的恶性肿瘤,7058,0,1578,8636,445,365,0,810
C81,霍奇金[何杰金]淋巴瘤,959,0,69,1028,9,2,0,11
C82-C85,非霍奇金淋巴瘤,10905,0,769,11674,236,152,0,388
C91-C95,白血病,12482,0,322,12804,192,117,0,309
"C86, C88-C90, C96",淋巴、造血和有关组织其他恶性肿瘤,8914,0,112,9026,94,44,0,138
D06,宫颈原位癌,293,0,353,646,0,0,0,0
D22-D23,皮肤良性肿瘤,1818,0,970,2788,0,0,0,0
D24,乳房良性肿瘤,158,0,1476,1634,0,0,0,0
D25,子宫平滑肌瘤,3714,0,3853,7567,0,1,0,1
D27,卵巢良性肿瘤,340,0,801,1141,0,0,0,0
D30,泌尿器官良性肿瘤,98,0,50,148,0,0,0,0
D33,脑和中枢神经系统其他部位的良性肿瘤,149,0,163,312,0,1,0,1
"D00-D05, D07-D21, D26, D28-D29, D31-D32, D34-D48",其他原位、良性、动态未定或动态未知的肿瘤,22626,1,13162,35789,181,158,0,339
D50,缺铁性贫血,3620,1,310,3931,1,1,0,2
D51-D64,其他贫血,20753,12,907,21672,18,26,0,44
D65-D77,血液和造血器官的出血性情况及其他疾病,5658,0,368,6026,33,18,0,51
D80-D89,某些涉及免疫机制的疾患,1092,0,40,1132,1,5,0,6
E00-E02,碘缺乏相关性甲状腺疾患,0,0,3,3,0,0,0,0
E05,甲状腺毒症,1785,0,516,2301,4,6,0,10
"E03-E04, E06-E07",甲状腺其他疾患,4247,0,1828,6075,0,6,0,6
E10-E14,糖尿病,13129,309,551,13989,246,252,0,498
E40-E46,营养不良,51,0,14,65,1,4,0,5
E50,维生素A缺乏,0,0,0,0,0,0,0,0
E51-E56,其他维生素缺乏,269,4,9,282,0,1,0,1
E64,营养不良和其他营养缺乏的后遗症,0,0,0,0,0,0,0,0
E66,肥胖,1894,0,65,1959,0,2,0,2
E86,血容量缺失,1592,0,76,1668,1,12,0,13
"E15-E35, E58-E63, E65, E67-E85, E87-E90",其他内分泌、营养和代谢疾患,21260,1,785,22046,32,39,0,71
F00-F03,认知障碍症,5146,5,65,5216,549,822,0,1371
F10,由于使用酒精引起的精神和行为障碍,1858,28,11,1897,0,0,0,0
F11-F19,使用其他精神活性物质引起的精神和行为障碍,2836,3134,2,5972,0,0,0,0
F20-F29,精神分裂症、分裂型障碍和妄想性障碍,9588,413,4,10005,4,0,0,4
F30-F39,心境[情感]障碍,4714,108,38,4860,0,0,0,0
F40-F48,神经症性、应激相关的以及躯体形式的障碍,4472,0,126,4598,0,0,0,0
F70-F79,精神发育迟滞,1925,5,1,1931,0,0,0,0
"F04-F09, F50-F69, F80-F99",其他精神和行为障碍,3530,208,93,3831,0,0,0,0
G00-G09,中枢神经系统炎性疾病,756,0,86,842,33,16,0,49
G20,帕金森病,1973,0,83,2056,92,48,0,140
G30,阿尔茨海默病,967,0,27,994,13,30,0,43
G35,多发性硬化,203,1,35,239,1,1,0,2
G40-G41,癫痫,4639,105,157,4901,20,13,0,33
G43-G44,偏头痛和其他头痛综合症,463,5,873,1341,0,0,0,0
G45,短暂性大脑缺血性发作和相关的综合症,2378,0,300,2678,0,0,0,0
G50-G59,神经、神经根和神经丛疾患,3119,1,1042,4162,0,0,0,0
G80-G83,大脑性麻痹[瘫痪]和其他麻痹[瘫痪]综合症,946,39,26,1011,4,4,0,8
"G10-G14, G21-G26, G31-G32, G36-G37, G46-G47, G60-G73, G90-G99",神经系统其他疾患,14295,9,3378,17682,103,67,0,170
H00-H01,眼睑炎症,123,2,590,715,0,0,0,0
H10-H13,结膜炎和结膜的其他疾患,1944,26,144,2114,0,0,0,0
H15-H19,角膜炎以及巩膜和角膜的其他疾患,705,0,123,828,0,0,0,0
H25-H28,白内障和晶状体的其他疾患,26014,0,3639,29653,0,0,0,0
H33,视网膜脱离及断裂,1196,0,674,1870,0,0,0,0
H40-H42,青光眼,1186,0,213,1399,0,0,0,0
