《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A00,霍乱,4,0,1,5,0,0,0,0
A01,伤寒和副伤寒,52,0,11,63,0,0,0,0
A03,志贺菌病,16,0,2,18,0,0,0,0
A06,阿米巴病,5,0,11,16,0,0,0,0
"A02, A04-A05, A07-A08",其他肠道传染病,4305,0,1660,5965,15,13,0,28
A09,其他传染性或未特指病因的胃肠炎和结肠炎,11535,81,6012,17628,14,23,0,37
A15-A16,呼吸道结核病,3445,21,147,3613,117,47,0,164
A17-A19,其他结核病,544,0,30,574,14,9,0,23
A20,鼠疫,0,0,0,0,0,0,0,0
A23,布鲁氏菌病,11,0,1,12,0,0,0,0
A30,麻风,4,0,2,6,0,0,0,0
A33,新生儿破伤风,0,0,0,0,0,0,0,0
A34-A35,其他破伤风,0,0,0,0,0,0,0,0
A36,白喉,0,0,0,0,0,0,0,0
A37,百日咳,21,0,6,27,0,0,0,0
A39,脑膜炎球菌感染,11,0,0,11,0,0,0,0
A40-A41,败血病,10446,0,308,10754,383,501,0,884
"A21-A22, A24-A28, A31-A32, A38, A42-A49",其他细菌性疾病,2491,0,415,2906,11,15,0,26
A50,先天性梅毒,3,0,1,4,0,0,0,0
A51,早期梅毒,26,0,0,26,0,0,0,0
A52-A53,其他梅毒,348,0,3,351,0,3,0,3
A54,淋球菌感染,6,0,1,7,0,0,0,0
A55-A56,性传播的衣原体疾病,15,0,1,16,0,0,0,0
A57-A64,其他主要为性传播模式的感染,188,0,53,241,0,0,0,0
A68,回归热,1,0,0,1,0,0,0,0
A71,沙眼,0,0,0,0,0,0,0,0
A75,斑疹伤寒,37,0,5,42,0,0,0,0
A80,急性脊髓灰质炎,0,0,0,0,0,0,0,0
A82,狂犬病,0,0,0,0,0,0,0,0
A83-A86,病毒性脑炎,23,0,10,33,1,0,0,1
A95,黄热病,1,0,0,1,0,0,0,0
"A90-A94, A96-A99",其他节肢动物媒介的病毒性发热和病毒性出血热,63,0,24,87,0,0,0,0
B00,疱疹病毒感染,376,0,50,426,2,0,0,2
B01-B02,水痘和带状疱疹,1438,17,207,1662,0,1,0,1
B05,麻疹,33,0,4,37,0,0,0,0
B06,风疹,3,0,1,4,0,0,0,0
B15,急性甲型肝炎,16,0,14,30,0,0,0,0
B16,急性乙型肝炎,315,0,74,389,25,6,0,31
B17,其他急性病毒性肝炎,114,0,31,145,4,1,0,5
B18,慢性病毒性肝炎,1394,0,30,1424,25,11,0,36
B19,未特指的病毒性肝炎,6,0,24,30,4,2,0,6
B20-B24,人类免疫缺陷病毒病,429,0,5,434,18,2,0,20
B26,流行性腮腺炎,12,0,10,22,0,0,0,0
"A81, A87-A89, B03-B04, B07-B09, B25, B27-B34",其他病毒性疾病,8259,9,3709,11977,5,6,0,11
B35-B49,霉菌病,426,0,44,470,11,16,0,27
B50-B54,疟疾,26,0,3,29,1,0,0,1
B55,利什曼病,0,0,0,0,0,0,0,0
B56-B57,锥虫病,0,0,0,0,0,0,0,0
B65,血吸虫病,1,0,0,1,0,0,0,0
B66,其他吸虫感染,4,0,3,7,0,0,0,0
B67,棘球蚴病,2,0,0,2,0,0,0,0
B72,麦地那丝虫病,0,0,0,0,0,0,0,0
B73,盘尾丝虫病,0,0,0,0,0,0,0,0
B74,丝虫病,0,0,0,0,0,0,0,0
B76,钩虫病,0,0,0,0,0,0,0,0
"B68-B71, B75, B77-B83",其他蠕虫病,12,0,5,17,3,1,0,4
B90,结核病后遗症,153,0,0,153,0,0,0,0
B91,脊髓灰质炎后遗症,5,0,0,5,0,2,0,2
B92,麻风后遗症,0,0,0,0,0,0,0,0
"A65-A67, A69-A70, A74, A77-A79, B58-B64, B85-B89, B94, B98-B99",其他传染病和寄生虫病,256,12,27,295,10,8,0,18
C11,鼻咽恶性肿瘤,5855,0,406,6261,237,71,0,308
"C00-C10, C12-C14",唇、口腔和咽(鼻咽除外)恶性肿瘤,2458,2,293,2753,150,63,0,213
C15,食管恶性肿瘤,2084,0,183,2267,254,73,0,327
C16,胃恶性肿瘤,5281,0,548,5829,394,263,0,657
C18,结肠恶性肿瘤,15724,0,1742,17466,779,637,0,1416
C19-C21,直肠乙状结肠连接处、直肠、肛门和肛管恶性肿瘤,11647,0,1037,12684,360,258,0,618
C22,肝和肝内胆管恶性肿瘤,8794,1,999,9794,1149,436,0,1585
C25,胰恶性肿瘤,3432,0,433,3865,328,248,0,576
"C17, C23-C24, C26",消化器官其他恶性肿瘤,1262,0,145,1407,139,116,0,255
C32,喉恶性肿瘤,675,0,42,717,61,5,0,66
C33-C34,气管、支气管和肺恶性肿瘤,23913,2,2102,26017,2537,1329,0,3866
"C30-C31, C37-C39",呼吸和胸腔内器官其他恶性肿瘤,823,4,72,899,29,13,0,42
C40-C41,骨和软骨恶性肿瘤,580,0,53,633,12,11,0,23
C43,皮肤恶性黑色素瘤,180,0,61,241,23,22,0,45
C44,皮肤其他恶性肿瘤,655,0,134,789,11,5,0,16
C45-C49,间皮组织和软组织恶性肿瘤,2040,0,189,2229,80,70,0,150
C50,乳房恶性肿瘤,29973,2,2908,32883,6,604,0,610
C53,宫颈恶性肿瘤,3100,0,259,3359,0,131,0,131
C54-C55,子宫其他和未特指部位的恶性肿瘤,3114,0,516,3630,0,133,0,133
"C51-C52, C56-C58",女性生殖器官其他恶性肿瘤,4949,0,453,5402,0,208,0,208
C61,前列腺恶性肿瘤,4348,0,720,5068,398,0,0,398
"C60, C62-C63",男性生殖器官其他恶性肿瘤,374,0,61,435,10,0,0,10
C67,膀胱恶性肿瘤,5183,0,603,5786,147,64,0,211
"C64-C66, C68",泌尿道其他恶性肿瘤,1356,5,324,1685,127,73,0,200
C69,眼和附器恶性肿瘤,486,0,5,491,1,0,0,1
C71,脑恶性肿瘤,1220,1,196,1417,60,53,0,113
"C70, C72",中枢神经系统其他部位的恶性肿瘤,42,0,26,68,1,0,0,1
"C73-C80, C97",其他、不明确、继发、未特指及多部位的恶性肿瘤,7209,0,1285,8494,440,363,0,803
C81,霍奇金[何杰金]淋巴瘤,626,0,87,713,7,3,0,10
C82-C85,非霍奇金淋巴瘤,9516,0,547,10063,204,148,0,352
C91-C95,白血病,13461,0,277,13738,191,125,0,316
"C86, C88-C90, C96",淋巴、造血和有关组织其他恶性肿瘤,7611,0,168,7779,88,55,0,143
D06,宫颈原位癌,332,0,352,684,0,0,0,0
D22-D23,皮肤良性肿瘤,2079,6,977,3062,0,0,0,0
D24,乳房良性肿瘤,139,0,1929,2068,0,0,0,0
D25,子宫平滑肌瘤,4078,0,3797,7875,0,0,0,0
D27,卵巢良性肿瘤,293,0,1103,1396,0,0,0,0
D30,泌尿器官良性肿瘤,61,0,60,121,0,0,0,0
