《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A00,霍乱,3,0,0,3,0,0,0,0
A01,伤寒和副伤寒,35,0,16,51,0,0,0,0
A03,志贺菌病,16,0,1,17,0,0,0,0
A06,阿米巴病,3,0,10,13,0,0,0,0
"A02, A04-A05, A07-A08",其他肠道传染病,4794,0,2072,6866,10,13,0,23
A09,其他传染性或未特指病因的胃肠炎和结肠炎,17445,4,6412,23861,15,19,0,34
A15-A16,呼吸道结核病,3751,33,166,3950,134,38,0,172
A17-A19,其他结核病,649,0,49,698,12,11,0,23
A20,鼠疫,0,0,0,0,0,0,0,0
A23,布鲁氏菌病,0,0,2,2,0,0,0,0
A30,麻风,3,0,0,3,0,0,0,0
A33,新生儿破伤风,0,0,0,0,0,0,0,0
A34-A35,其他破伤风,4,0,0,4,0,0,0,0
A36,白喉,0,0,0,0,0,0,0,0
A37,百日咳,21,0,1,22,0,0,0,0
A39,脑膜炎球菌感染,8,0,0,8,0,1,0,1
A40-A41,败血病,9112,0,275,9387,430,407,0,837
"A21-A22, A24-A28, A31-A32, A38, A42-A49",其他细菌性疾病,2141,0,221,2362,16,5,0,21
A50,先天性梅毒,4,1,2,7,0,0,0,0
A51,早期梅毒,18,0,0,18,0,0,0,0
A52-A53,其他梅毒,217,0,12,229,0,0,0,0
A54,淋球菌感染,4,0,1,5,0,0,0,0
A55-A56,性传播的衣原体疾病,9,0,1,10,0,0,0,0
A57-A64,其他主要为性传播模式的感染,228,0,69,297,0,0,0,0
A68,回归热,0,0,0,0,0,0,0,0
A71,沙眼,0,0,0,0,0,0,0,0
A75,斑疹伤寒,21,0,12,33,0,0,0,0
A80,急性脊髓灰质炎,0,0,0,0,0,0,0,0
A82,狂犬病,0,0,0,0,0,0,0,0
A83-A86,病毒性脑炎,29,0,10,39,2,0,0,2
A95,黄热病,0,0,0,0,0,0,0,0
"A90-A94, A96-A99",其他节肢动物媒介的病毒性发热和病毒性出血热,23,0,12,35,0,0,0,0
B00,疱疹病毒感染,366,2,52,420,0,0,0,0
B01-B02,水痘和带状疱疹,1205,32,186,1423,2,0,0,2
B05,麻疹,7,0,0,7,0,0,0,0
B06,风疹,5,0,1,6,0,0,0,0
B15,急性甲型肝炎,31,0,24,55,0,0,0,0
B16,急性乙型肝炎,453,0,110,563,10,3,0,13
B17,其他急性病毒性肝炎,69,0,35,104,5,2,0,7
B18,慢性病毒性肝炎,2387,0,77,2464,15,12,0,27
B19,未特指的病毒性肝炎,8,5,17,30,1,2,0,3
B20-B24,人类免疫缺陷病毒病,322,4,2,328,12,1,0,13
B26,流行性腮腺炎,3,2,18,23,0,0,0,0
"A81, A87-A89, B03-B04, B07-B09, B25, B27-B34",其他病毒性疾病,7945,9,3069,11023,8,6,0,14
B35-B49,霉菌病,404,0,76,480,13,9,0,22
B50-B54,疟疾,35,0,7,42,0,0,0,0
B55,利什曼病,0,0,0,0,0,0,0,0
B56-B57,锥虫病,0,0,0,0,0,0,0,0
B65,血吸虫病,0,0,1,1,0,0,0,0
B66,其他吸虫感染,8,0,0,8,0,0,0,0
B67,棘球蚴病,8,0,0,8,0,0,0,0
B72,麦地那丝虫病,0,0,0,0,0,0,0,0
B73,盘尾丝虫病,0,0,0,0,0,0,0,0
B74,丝虫病,0,0,0,0,0,0,0,0
B76,钩虫病,0,0,0,0,0,0,0,0
"B68-B71, B75, B77-B83",其他蠕虫病,4,0,1,5,0,0,0,0
B90,结核病后遗症,192,0,1,193,3,1,0,4
B91,脊髓灰质炎后遗症,4,0,0,4,0,0,0,0
B92,麻风后遗症,0,0,0,0,0,0,0,0
"A65-A67, A69-A70, A74, A77-A79, B58-B64, B85-B89, B94, B98-B99",其他传染病和寄生虫病,277,20,83,380,14,6,0,20
C11,鼻咽恶性肿瘤,5883,1,805,6689,255,74,0,329
"C00-C10, C12-C14",唇、口腔和咽(鼻咽除外)恶性肿瘤,2262,2,259,2523,137,55,0,192
C15,食管恶性肿瘤,1933,3,197,2133,250,63,0,313
C16,胃恶性肿瘤,5625,0,695,6320,379,278,0,657
C18,结肠恶性肿瘤,15345,5,1640,16990,739,575,0,1314
C19-C21,直肠乙状结肠连接处、直肠、肛门和肛管恶性肿瘤,12220,0,999,13219,340,249,0,589
C22,肝和肝内胆管恶性肿瘤,8809,4,881,9694,1045,460,0,1505
C25,胰恶性肿瘤,3173,0,438,3611,287,251,0,538
"C17, C23-C24, C26",消化器官其他恶性肿瘤,1255,2,199,1456,113,123,0,236
C32,喉恶性肿瘤,733,0,73,806,55,1,0,56
C33-C34,气管、支气管和肺恶性肿瘤,22515,17,2411,24943,2597,1296,0,3893
"C30-C31, C37-C39",呼吸和胸腔内器官其他恶性肿瘤,839,0,82,921,21,15,0,36
C40-C41,骨和软骨恶性肿瘤,502,0,50,552,9,11,0,20
C43,皮肤恶性黑色素瘤,191,0,56,247,22,20,0,42
C44,皮肤其他恶性肿瘤,597,0,127,724,17,7,0,24
C45-C49,间皮组织和软组织恶性肿瘤,1639,0,195,1834,59,65,0,124
C50,乳房恶性肿瘤,26652,0,3330,29982,3,601,0,604
C53,宫颈恶性肿瘤,3150,0,301,3451,0,133,0,133
C54-C55,子宫其他和未特指部位的恶性肿瘤,2270,1,359,2630,0,117,0,117
"C51-C52, C56-C58",女性生殖器官其他恶性肿瘤,4535,0,424,4959,0,201,0,201
C61,前列腺恶性肿瘤,4131,1,548,4680,362,0,0,362
"C60, C62-C63",男性生殖器官其他恶性肿瘤,325,0,76,401,7,0,0,7
C67,膀胱恶性肿瘤,4468,0,646,5114,132,52,0,184
"C64-C66, C68",泌尿道其他恶性肿瘤,1268,1,312,1581,140,64,0,204
C69,眼和附器恶性肿瘤,250,0,5,255,1,0,0,1
C71,脑恶性肿瘤,1048,0,172,1220,55,36,0,91
"C70, C72",中枢神经系统其他部位的恶性肿瘤,196,0,30,226,0,2,0,2
"C73-C80, C97",其他、不明确、继发、未特指及多部位的恶性肿瘤,6351,3,958,7312,437,336,0,773
C81,霍奇金[何杰金]淋巴瘤,818,0,42,860,3,4,0,7
C82-C85,非霍奇金淋巴瘤,8629,0,578,9207,197,154,0,351
C91-C95,白血病,11662,3,231,11896,181,95,0,276
"C86, C88-C90, C96",淋巴、造血和有关组织其他恶性肿瘤,6202,1,103,6306,90,65,0,155
D06,宫颈原位癌,459,0,179,638,0,0,0,0
D22-D23,皮肤良性肿瘤,1854,0,989,2843,0,0,0,0
D24,乳房良性肿瘤,152,0,2195,2347,0,0,0,0
D25,子宫平滑肌瘤,4053,0,3116,7169,0,2,0,2
D27,卵巢良性肿瘤,289,0,818,1107,0,0,0,0
D30,泌尿器官良性肿瘤,78,0,58,136,0,0,0,0
D33,脑和中枢神经系统其他部位的良性肿瘤,163,0,200,363,1,0,0,1
"D00-D05, D07-D21, D26, D28-D29, D31-D32, D34-D48",其他原位、良性、动态未定或动态未知的肿瘤,18690,0,10809,29499,153,130,0,283
D50,缺铁性贫血,3084,6,183,3273,0,0,0,0
D51-D64,其他贫血,17923,5,931,18859,11,20,0,31
D65-D77,血液和造血器官的出血性情况及其他疾病,4777,0,275,5052,26,24,0,50
D80-D89,某些涉及免疫机制的疾患,740,0,31,771,2,0,0,2
E00-E02,碘缺乏相关性甲状腺疾患,0,0,3,3,0,0,0,0
E05,甲状腺毒症,1375,0,519,1894,6,9,0,15
"E03-E04, E06-E07",甲状腺其他疾患,4006,1,1571,5578,1,2,0,3
E10-E14,糖尿病,19587,183,710,20480,198,200,0,398
E40-E46,营养不良,48,0,5,53,1,1,0,2
E50,维生素A缺乏,0,0,0,0,0,0,0,0
E51-E56,其他维生素缺乏,122,0,2,124,0,1,0,1
E64,营养不良和其他营养缺乏的后遗症,0,0,0,0,0,0,0,0
E66,肥胖,629,1,51,681,0,0,0,0
E86,血容量缺失,1650,0,55,1705,7,7,0,14
"E15-E35, E58-E63, E65, E67-E85, E87-E90",其他内分泌、营养和代谢疾患,16029,0,890,16919,32,30,0,62
F00-F03,认知障碍症,4243,3,55,4301,337,567,0,904
F10,由于使用酒精引起的精神和行为障碍,1805,0,13,1818,2,0,0,2
F11-F19,使用其他精神活性物质引起的精神和行为障碍,2274,7229,8,9511,2,0,0,2
F20-F29,精神分裂症、分裂型障碍和妄想性障碍,9872,395,17,10284,0,1,0,1
F30-F39,心境[情感]障碍,4661,272,55,4988,0,0,0,0
F40-F48,神经症性、应激相关的以及躯体形式的障碍,4158,46,139,4343,0,0,0,0
F70-F79,精神发育迟滞,1570,3,0,1573,0,0,0,0
"F04-F09, F50-F69, F80-F99",其他精神和行为障碍,3091,72,94,3257,0,2,0,2
G00-G09,中枢神经系统炎性疾病,641,0,62,703,19,21,0,40
G20,帕金森病,1429,0,80,1509,55,50,0,105
G30,阿尔茨海默病,896,0,14,910,4,28,0,32
G35,多发性硬化,156,0,28,184,0,1,0,1
G40-G41,癫痫,5627,73,232,5932,16,14,0,30
G43-G44,偏头痛和其他头痛综合症,476,17,925,1418,0,0,0,0
G45,短暂性大脑缺血性发作和相关的综合症,2014,0,247,2261,0,0,0,0
G50-G59,神经、神经根和神经丛疾患,2475,0,845,3320,0,0,0,0
G80-G83,大脑性麻痹[瘫痪]和其他麻痹[瘫痪]综合症,983,9,27,1019,10,2,0,12
"G10-G14, G21-G26, G31-G32, G36-G37, G46-G47, G60-G73, G90-G99",神经系统其他疾患,12233,8,2832,15073,91,58,0,149
H00-H01,眼睑炎症,160,25,565,750,0,0,0,0
H10-H13,结膜炎和结膜的其他疾患,2023,61,196,2280,0,0,0,0
H15-H19,角膜炎以及巩膜和角膜的其他疾患,605,0,133,738,0,0,0,0
H25-H28,白内障和晶状体的其他疾患,27582,1,3956,31539,0,0,0,0
H33,视网膜脱离及断裂,1429,6,961,2396,0,0,0,0
H40-H42,青光眼,1499,5,208,1712,0,0,0,0
H49-H50,斜视,910,0,212,1122,0,0,0,0
H52,屈光和调节疾患,46,0,27,73,0,0,0,0
H54,视力损害包括盲(双眼或单眼),54,2,7,63,0,0,0,0
"H02-H06, H20-H22, H30-H32, H34-H36, H43-H48, H51, H53, H55-H59",眼和附器其他疾病,6274,15,1803,8092,0,0,0,0
H65-H75,中耳炎以及中耳和乳突其他疾患,2321,1,961,3283,0,0,0,0
H90-H91,听觉丧失,891,0,391,1282,0,0,0,0
"H60-H62, H80-H83, H92-H95",中耳和乳突其他疾患,2864,9,2114,4987,0,0,0,0
I00-I02,急性风湿热,9,0,1,10,0,0,0,0
I05-I09,慢性风湿性心脏病,2048,1,66,2115,36,65,0,101
I10,特发性(原发性)高血压,12673,101,1406,14180,63,67,0,130
I11,高血压性心脏病,757,48,23,828,254,267,0,521
I12,高血压性肾脏病,1745,0,8,1753,52,81,0,133
I13,高血压性心脏和肾脏病,1118,0,3,1121,5,8,0,13
I15,继发性高血压,493,48,10,551,0,0,0,0
I21-I22,急性心肌梗死,9338,2,223,9563,1108,769,0,1877
"I20, I23-I25",其他缺血性心脏病,19337,6,5627,24970,1416,979,0,2395
I26,肺栓塞,521,0,68,589,16,22,0,38
I44-I49,传导疾患和心律失常,14935,2,1705,16642,67,104,0,171
I50,心力衰竭,17714,5,406,18125,311,495,0,806
"I27-I43, I51-I52",其他心脏病,4017,0,536,4553,185,176,0,361
I60-I62,颅内出血,6296,0,213,6509,664,543,0,1207
I63,脑梗死,11705,0,276,11981,39,52,0,91
I64,中风，未特指为出血或梗死,3042,1,485,3528,564,574,0,1138
I65-I69,其他脑血管病,3512,0,200,3712,413,427,0,840
I70,动脉粥样硬化症,213,0,18,231,0,1,0,1
I73,其他周围血管疾病,865,0,52,917,18,32,0,50
I74,动脉栓塞和血栓形成,197,0,8,205,3,5,0,8
I71,主动脉动脉瘤和动脉壁夹层形成,1401,0,41,1442,236,129,0,365
"I72, I77-I79",其他动脉、小动脉和毛细管的其他疾病,537,0,136,673,16,7,0,23
I80-I82,静脉炎、血栓静脉炎、静脉栓塞和血栓形成,1594,0,175,1769,16,19,0,35
I83,下肢静脉曲张,1975,1,792,2768,1,1,0,2
I84,痔,8036,16,14221,22273,0,1,0,1
I85-I99,循环系统其他疾病,3321,52,918,4291,6,7,0,13
J02-J03,急性咽炎和急性扁桃体炎,1958,36,2464,4458,2,0,0,2
J04,急性喉炎和气管炎,55,0,79,134,1,0,0,1
"J00-J01, J05-J06",其他急性上呼吸道感染,15343,204,3391,18938,3,0,0,3
J09-J11,流行性感冒,6276,53,2314,8643,37,31,0,68
J12-J18,肺炎,53635,6,3322,56963,3683,3277,0,6960
J20-J21,急性支气管炎和急性细支气管炎,6426,7,3262,9695,1,2,0,3
J32,慢性鼻窦炎,396,0,718,1114,0,0,0,0
"J30-J31, J33-J34",鼻和鼻窦其他疾病,2355,50,2103,4508,0,0,0,0
J35,扁桃体和腺样体慢性疾病,704,0,533,1237,0,0,0,0
J36-J39,上呼吸道其他疾病,2298,88,1271,3657,3,4,0,7
J40-J44,支气管炎、肺气肿和其他慢性阻塞性肺病,29538,6,1498,31042,1355,347,0,1702
J45-J46,哮喘,7969,452,491,8912,41,62,0,103
J47,支气管扩张症,2412,8,317,2737,74,102,0,176
J60-J65,尘肺,125,0,1,126,40,1,0,41
"J22, J66-J99",呼吸系统其他疾病,14554,25,2328,16907,307,259,0,566
K02,龋(齿),780,4,31,815,0,0,0,0
