二零二三年按疾病类别划分的住院病人出院及死亡人次及全港登记死亡人数,,,,,,,,,
,,,,,,,,,
《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A00,霍乱,1,0,2,3,0,0,0,0
A01,伤寒和副伤寒,28,0,3,31,0,0,0,0
A03,志贺菌病,1,0,5,6,0,0,0,0
A06,阿米巴病,23,0,13,36,1,0,0,1
"A02, A04-A05, A07-A08",其他肠道传染病,3989,0,3584,7573,11,15,0,26
A09,其他传染性或未特指病因的胃肠炎和结肠炎,13066,0,3316,16382,19,19,0,38
A15-A16,呼吸道结核病,2051,0,88,2139,100,43,0,143
A17-A19,其他结核病,311,0,13,324,16,13,0,29
A20,鼠疫,0,0,0,0,0,0,0,0
A23,布鲁氏菌病,4,0,0,4,0,0,0,0
A30,麻风,3,0,0,3,0,0,0,0
A33,新生儿破伤风,0,0,0,0,0,0,0,0
A34-A35,其他破伤风,2,0,0,2,0,0,0,0
A36,白喉,4,0,0,4,0,0,0,0
A37,百日咳,13,0,5,18,0,0,0,0
A39,脑膜炎球菌感染,4,0,1,5,0,0,0,0
A40-A41,败血病,11121,0,531,11652,680,650,0,1330
"A21-A22, A24-A28, A31-A32, A38, A42-A49",其他细菌性疾病,3630,0,305,3935,48,31,0,79
A50,先天性梅毒,4,0,0,4,0,0,0,0
A51,早期梅毒,20,0,0,20,0,0,0,0
A52-A53,其他梅毒,752,0,2,754,1,0,0,1
A54,淋球菌感染,32,0,5,37,0,0,0,0
A55-A56,性传播的衣原体疾病,10,0,0,10,0,0,0,0
A57-A64,其他主要为性传播模式的感染,86,0,92,178,0,0,0,0
A68,回归热,5,0,1,6,0,0,0,0
A71,沙眼,0,0,0,0,0,0,0,0
A75,斑疹伤寒,32,0,5,37,1,0,0,1
A80,急性脊髓灰质炎,3,0,0,3,0,0,0,0
A82,狂犬病,0,0,0,0,0,0,0,0
A83-A86,病毒性脑炎,24,0,3,27,1,1,0,2
A95,黄热病,0,0,0,0,0,0,0,0
"A90-A94, A96-A99",其他节肢动物媒介的病毒性发热和病毒性出血热,55,0,15,70,0,0,0,0
B00,疱疹病毒感染,241,0,80,321,0,0,0,0
B01-B02,水痘和带状疱疹,1672,7,179,1858,3,3,0,6
B05,麻疹,0,0,1,1,0,0,0,0
B06,风疹,0,0,0,0,0,0,0,0
B15,急性甲型肝炎,18,0,5,23,0,0,0,0
B16,急性乙型肝炎,229,0,19,248,0,0,0,0
B17,其他急性病毒性肝炎,91,0,34,125,3,1,0,4
B18,慢性病毒性肝炎,374,0,7,381,32,15,0,47
B19,未特指的病毒性肝炎,7,0,21,28,4,2,0,6
B20-B24,人类免疫缺陷病毒病,361,0,1,362,16,2,0,18
B26,流行性腮腺炎,4,0,1,5,0,0,0,0
"A81, A87-A89, B03-B04, B07-B09, B25, B27-B34",其他病毒性疾病,17553,0,3328,20881,23,19,0,42
B35-B49,霉菌病,554,0,52,606,28,20,0,48
B50-B54,疟疾,10,0,1,11,0,0,0,0
B55,利什曼病,0,0,0,0,0,0,0,0
B56-B57,锥虫病,0,0,0,0,0,0,0,0
B65,血吸虫病,0,0,0,0,0,0,0,0
B66,其他吸虫感染,9,0,1,10,0,0,0,0
B67,棘球蚴病,0,0,0,0,0,0,0,0
B72,麦地那丝虫病,0,0,0,0,0,0,0,0
B73,盘尾丝虫病,0,0,0,0,0,0,0,0
B74,丝虫病,0,0,0,0,0,0,0,0
B76,钩虫病,0,0,0,0,0,0,0,0
"B68-B71, B75, B77-B83",其他蠕虫病,6,0,4,10,0,0,0,0
B90,结核病后遗症,37,0,0,37,0,0,0,0
B91,脊髓灰质炎后遗症,1,0,0,1,0,0,0,0
B92,麻风后遗症,0,0,0,0,0,0,0,0
"A65-A67, A69-A70, A74, A77-A79, B58-B64, B85-B89, B94, B98-B99",其他传染病和寄生虫病,947,2,44,993,9,1,0,10
C11,鼻咽恶性肿瘤,6852,0,415,7267,206,48,0,254
"C00-C10, C12-C14",唇、口腔和咽(鼻咽除外)恶性肿瘤,3025,0,449,3474,161,87,0,248
C15,食管恶性肿瘤,1999,0,310,2309,222,49,0,271
C16,胃恶性肿瘤,4968,0,739,5707,345,249,0,594
C18,结肠恶性肿瘤,19014,0,1791,20805,907,686,0,1593
C19-C21,直肠乙状结肠连接处、直肠、肛门和肛管恶性肿瘤,11802,0,911,12713,422,251,0,673
C22,肝和肝内胆管恶性肿瘤,9627,0,1283,10910,1031,377,0,1408
C25,胰恶性肿瘤,5983,0,1241,7224,495,423,0,918
"C17, C23-C24, C26",消化器官其他恶性肿瘤,2536,0,228,2764,116,129,0,245
C32,喉恶性肿瘤,588,0,65,653,50,5,0,55
C33-C34,气管、支气管和肺恶性肿瘤,35335,0,3320,38655,2476,1404,0,3880
"C30-C31, C37-C39",呼吸和胸腔内器官其他恶性肿瘤,977,0,160,1137,28,15,0,43
C40-C41,骨和软骨恶性肿瘤,705,0,43,748,10,10,0,20
C43,皮肤恶性黑色素瘤,305,0,109,414,23,29,0,52
C44,皮肤其他恶性肿瘤,1333,0,215,1548,14,9,0,23
C45-C49,间皮组织和软组织恶性肿瘤,3305,0,497,3802,92,109,0,201
C50,乳房恶性肿瘤,47955,0,4671,52626,0,834,0,834
C53,宫颈恶性肿瘤,3818,0,440,4258,0,173,0,173
C54-C55,子宫其他和未特指部位的恶性肿瘤,4632,0,846,5478,0,203,0,203
"C51-C52, C56-C58",女性生殖器官其他恶性肿瘤,5929,0,866,6795,0,274,0,274
C61,前列腺恶性肿瘤,5755,0,1195,6950,522,0,0,522
"C60, C62-C63",男性生殖器官其他恶性肿瘤,327,0,111,438,14,0,0,14
C67,膀胱恶性肿瘤,4927,0,708,5635,121,59,0,180
"C64-C66, C68",泌尿道其他恶性肿瘤,3048,0,508,3556,173,87,0,260
C69,眼和附器恶性肿瘤,323,0,10,333,0,0,0,0
C71,脑恶性肿瘤,1086,0,227,1313,110,71,0,181
"C70, C72",中枢神经系统其他部位的恶性肿瘤,57,0,28,85,5,5,0,10
"C73-C80, C97",其他、不明确、继发、未特指及多部位的恶性肿瘤,6896,0,3457,10353,409,353,0,762
C81,霍奇金[何杰金]淋巴瘤,1154,0,134,1288,4,5,0,9
C82-C85,非霍奇金淋巴瘤,14834,0,1080,15914,253,213,0,466
C91-C95,白血病,18751,0,570,19321,185,160,0,345
"C86, C88-C90, C96",淋巴、造血和有关组织其他恶性肿瘤,17254,0,411,17665,95,61,0,156
D06,宫颈原位癌,180,0,231,411,0,0,0,0
D22-D23,皮肤良性肿瘤,1340,0,394,1734,0,0,0,0
D24,乳房良性肿瘤,77,0,788,865,0,0,0,0
D25,子宫平滑肌瘤,3307,0,3813,7120,0,0,0,0
D27,卵巢良性肿瘤,261,0,847,1108,0,0,0,0
D30,泌尿器官良性肿瘤,4,0,35,39,0,0,0,0
D33,脑和中枢神经系统其他部位的良性肿瘤,95,0,84,179,0,2,0,2
"D00-D05, D07-D21, D26, D28-D29, D31-D32, D34-D48",其他原位、良性、动态未定或动态未知的肿瘤,28217,0,16511,44728,182,156,0,338
D50,缺铁性贫血,4400,6,305,4711,0,2,0,2
D51-D64,其他贫血,21553,3,849,22405,28,42,0,70
D65-D77,血液和造血器官的出血性情况及其他疾病,6430,0,398,6828,18,18,0,36
D80-D89,某些涉及免疫机制的疾患,1272,0,71,1343,2,5,0,7
E00-E02,碘缺乏相关性甲状腺疾患,0,0,2,2,0,0,0,0
E05,甲状腺毒症,3243,0,741,3984,6,6,0,12
"E03-E04, E06-E07",甲状腺其他疾患,4139,6,1374,5519,2,0,0,2
E10-E14,糖尿病,11373,272,330,11975,297,273,0,570
E40-E46,营养不良,29,0,3,32,2,0,0,2
E50,维生素A缺乏,1,0,0,1,0,0,0,0
E51-E56,其他维生素缺乏,240,0,11,251,3,0,0,3
E64,营养不良和其他营养缺乏的后遗症,0,0,0,0,0,0,0,0
E66,肥胖,1817,0,15,1832,1,0,0,1
E86,血容量缺失,1833,0,166,1999,3,4,0,7
"E15-E35, E58-E63, E65, E67-E85, E87-E90",其他内分泌、营养和代谢疾患,32527,0,887,33414,61,52,0,113
