二零一七年按疾病类别划分的住院病人出院及死亡人次及全港登记死亡人数,,,,,,,,,
,,,,,,,,,
《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A00,霍乱,4,0,5,9,0,0,0,0
A01,伤寒和副伤寒,49,0,7,56,0,0,0,0
A03,志贺菌病,4,0,10,14,0,0,0,0
A06,阿米巴病,7,0,11,18,0,0,0,0
"A02, A04-A05, A07-A08",其他肠道传染病,4800,0,3230,8030,16,15,0,31
A09,其他传染性或未特指病因的胃肠炎和结肠炎,15295,76,4634,20005,6,21,0,27
A15-A16,呼吸道结核病,3236,8,148,3392,118,37,0,155
A17-A19,其他结核病,506,2,29,537,13,11,0,24
A20,鼠疫,0,0,0,0,0,0,0,0
A23,布鲁氏菌病,21,0,1,22,1,0,0,1
A30,麻风,5,0,0,5,0,0,0,0
A33,新生儿破伤风,0,0,0,0,0,0,0,0
A34-A35,其他破伤风,1,0,0,1,0,0,0,0
A36,白喉,0,0,0,0,0,0,0,0
A37,百日咳,40,0,19,59,0,0,0,0
A39,脑膜炎球菌感染,4,0,1,5,0,1,0,1
A40-A41,败血病,11808,0,329,12137,524,447,0,971
"A21-A22, A24-A28, A31-A32, A38, A42-A49",其他细菌性疾病,3139,1,521,3661,22,15,0,37
A50,先天性梅毒,2,0,0,2,0,0,0,0
A51,早期梅毒,9,0,0,9,0,0,0,0
A52-A53,其他梅毒,270,0,1,271,0,0,0,0
A54,淋球菌感染,10,0,1,11,0,0,0,0
A55-A56,性传播的衣原体疾病,9,0,0,9,0,0,0,0
A57-A64,其他主要为性传播模式的感染,150,0,97,247,0,0,0,0
A68,回归热,0,0,0,0,0,0,0,0
A71,沙眼,0,0,0,0,0,0,0,0
