《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A00,霍乱,1,0,1,2,0,0,0,0
A01,伤寒和副伤寒,50,0,17,67,0,0,0,0
A03,志贺菌病,5,0,3,8,0,0,0,0
A06,阿米巴病,4,0,5,9,0,0,0,0
"A02, A04-A05, A07-A08",其他肠道传染病,4120,5,2135,6260,4,21,0,25
A09,其他传染性或未特指病因的胃肠炎和结肠炎,12175,20,5609,17804,18,16,0,34
A15-A16,呼吸道结核病,3421,4,143,3568,127,21,0,148
A17-A19,其他结核病,478,1,36,515,15,4,0,19
A20,鼠疫,0,0,0,0,0,0,0,0
A23,布鲁氏菌病,7,0,0,7,0,0,0,0
A30,麻风,4,0,0,4,0,0,0,0
A33,新生儿破伤风,0,0,0,0,0,0,0,0
A34-A35,其他破伤风,1,0,0,1,0,0,0,0
A36,白喉,0,0,0,0,0,0,0,0
A37,百日咳,32,0,10,42,0,0,0,0
A39,脑膜炎球菌感染,5,0,1,6,1,0,0,1
A40-A41,败血病,11181,0,285,11466,424,467,0,891
"A21-A22, A24-A28, A31-A32, A38, A42-A49",其他细菌性疾病,2504,0,347,2851,25,20,0,45
A50,先天性梅毒,1,0,0,1,0,0,0,0
A51,早期梅毒,2,0,0,2,0,0,0,0
A52-A53,其他梅毒,258,1,2,261,1,0,0,1
A54,淋球菌感染,4,0,4,8,0,0,0,0
A55-A56,性传播的衣原体疾病,21,0,1,22,0,0,0,0
A57-A64,其他主要为性传播模式的感染,177,0,64,241,0,0,0,0
A68,回归热,0,0,1,1,0,0,0,0
A71,沙眼,0,0,0,0,0,0,0,0
A75,斑疹伤寒,22,0,2,24,1,0,0,1
A80,急性脊髓灰质炎,0,0,0,0,0,0,0,0
A82,狂犬病,0,0,0,0,0,0,0,0
A83-A86,病毒性脑炎,18,0,8,26,3,0,0,3
A95,黄热病,0,0,0,0,0,0,0,0
"A90-A94, A96-A99",其他节肢动物媒介的病毒性发热和病毒性出血热,77,0,26,103,0,0,0,0
B00,疱疹病毒感染,339,0,56,395,1,0,0,1
B01-B02,水痘和带状疱疹,1488,19,239,1746,2,2,0,4
B05,麻疹,6,0,1,7,0,0,0,0
B06,风疹,3,0,1,4,0,0,0,0
B15,急性甲型肝炎,62,0,22,84,0,0,0,0
B16,急性乙型肝炎,231,0,60,291,13,1,0,14
B17,其他急性病毒性肝炎,105,0,24,129,4,2,0,6
B18,慢性病毒性肝炎,1136,2,28,1166,7,3,0,10
B19,未特指的病毒性肝炎,6,0,22,28,1,0,0,1
B20-B24,人类免疫缺陷病毒病,462,0,7,469,20,5,0,25
B26,流行性腮腺炎,5,0,4,9,0,0,0,0
"A81, A87-A89, B03-B04, B07-B09, B25, B27-B34",其他病毒性疾病,8509,0,4069,12578,11,6,0,17
B35-B49,霉菌病,469,0,53,522,11,12,0,23
B50-B54,疟疾,26,0,3,29,0,0,0,0
B55,利什曼病,1,0,0,1,0,0,0,0
B56-B57,锥虫病,0,0,0,0,0,0,0,0
B65,血吸虫病,1,0,0,1,0,0,0,0
B66,其他吸虫感染,4,0,1,5,0,0,0,0
B67,棘球蚴病,1,0,0,1,0,0,0,0
B72,麦地那丝虫病,0,0,0,0,0,0,0,0
B73,盘尾丝虫病,0,0,0,0,0,0,0,0
B74,丝虫病,0,0,0,0,0,0,0,0
B76,钩虫病,1,0,0,1,0,0,0,0
"B68-B71, B75, B77-B83",其他蠕虫病,14,0,3,17,0,1,0,1
B90,结核病后遗症,132,0,0,132,1,1,0,2
B91,脊髓灰质炎后遗症,3,0,0,3,0,0,0,0
B92,麻风后遗症,0,0,0,0,0,0,0,0
"A65-A67, A69-A70, A74, A77-A79, B58-B64, B85-B89, B94, B98-B99",其他传染病和寄生虫病,255,2,14,271,7,4,0,11
C11,鼻咽恶性肿瘤,6342,0,461,6803,259,68,0,327
"C00-C10, C12-C14",唇、口腔和咽(鼻咽除外)恶性肿瘤,2461,0,310,2771,156,61,0,217
C15,食管恶性肿瘤,2033,0,208,2241,242,57,0,299
C16,胃恶性肿瘤,5385,0,573,5958,410,259,0,669
C18,结肠恶性肿瘤,16694,0,1752,18446,761,658,0,1419
C19-C21,直肠乙状结肠连接处、直肠、肛门和肛管恶性肿瘤,12219,1,1145,13365,416,238,0,654
C22,肝和肝内胆管恶性肿瘤,8542,2,1155,9699,1139,432,0,1571
C25,胰恶性肿瘤,3800,0,565,4365,345,346,0,691
