《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
B67,棘球蚴病,1,0,0,1,0,0,0,0
B72,麦地那丝虫病,0,0,0,0,0,0,0,0
B73,盘尾丝虫病,0,0,0,0,0,0,0,0
B74,丝虫病,0,0,1,1,0,0,0,0
B76,钩虫病,0,0,0,0,0,0,0,0
"B68-B71, B75, B77-B83",其他蠕虫病,6,0,4,10,0,1,0,1
B90,结核病后遗症,157,0,0,157,0,1,0,1
B91,脊髓灰质炎后遗症,5,0,0,5,0,0,0,0
B92,麻风后遗症,0,0,0,0,0,0,0,0
"A65-A67, A69-A70, A74, A77-A79, B58-B64, B85-B89, B94, B98-B99",其他传染病和寄生虫病,284,29,138,451,9,9,0,18
C11,鼻咽恶性肿瘤,5545,0,474,6019,239,73,0,312
"C00-C10, C12-C14",唇、口腔和咽(鼻咽除外)恶性肿瘤,2553,0,249,2802,137,47,0,184
C15,食管恶性肿瘤,1906,16,200,2122,262,67,0,329
C16,胃恶性肿瘤,5518,0,475,5993,380,245,0,625
C18,结肠恶性肿瘤,15760,7,1563,17330,740,644,0,1384
C19-C21,直肠乙状结肠连接处、直肠、肛门和肛管恶性肿瘤,11568,0,997,12565,347,250,0,597
C22,肝和肝内胆管恶性肿瘤,8623,14,990,9627,1123,401,0,1524
C25,胰恶性肿瘤,3205,0,373,3578,310,274,0,584
"C17, C23-C24, C26",消化器官其他恶性肿瘤,1228,1,149,1378,116,150,0,266
C32,喉恶性肿瘤,788,0,49,837,63,2,0,65
C33-C34,气管、支气管和肺恶性肿瘤,21771,0,2016,23787,2491,1376,0,3867
"C30-C31, C37-C39",呼吸和胸腔内器官其他恶性肿瘤,995,0,63,1058,41,15,0,56
C40-C41,骨和软骨恶性肿瘤,514,0,36,550,13,11,0,24
C43,皮肤恶性黑色素瘤,234,0,80,314,19,25,0,44
C44,皮肤其他恶性肿瘤,758,0,129,887,9,13,0,22
C45-C49,间皮组织和软组织恶性肿瘤,1814,0,136,1950,77,67,0,144
C50,乳房恶性肿瘤,27067,3,2674,29744,4,596,0,600
C53,宫颈恶性肿瘤,3260,0,242,3502,0,142,0,142
C54-C55,子宫其他和未特指部位的恶性肿瘤,2702,0,416,3118,0,131,0,131
"C51-C52, C56-C58",女性生殖器官其他恶性肿瘤,4486,0,367,4853,0,239,0,239
C61,前列腺恶性肿瘤,4254,0,568,4822,372,0,0,372
"C60, C62-C63",男性生殖器官其他恶性肿瘤,286,1,71,358,4,0,0,4
C67,膀胱恶性肿瘤,4916,0,575,5491,118,54,0,172
"C64-C66, C68",泌尿道其他恶性肿瘤,1244,1,311,1556,107,73,0,180
C69,眼和附器恶性肿瘤,157,0,7,164,2,0,0,2
C71,脑恶性肿瘤,1082,0,176,1258,66,35,0,101
"C70, C72",中枢神经系统其他部位的恶性肿瘤,130,0,21,151,0,0,0,0
"C73-C80, C97",其他、不明确、继发、未特指及多部位的恶性肿瘤,7212,1,1093,8306,439,395,0,834
C81,霍奇金[何杰金]淋巴瘤,886,0,96,982,4,1,0,5
C82-C85,非霍奇金淋巴瘤,9563,0,538,10101,204,148,0,352
C91-C95,白血病,12339,0,262,12601,179,123,0,302
"C86, C88-C90, C96",淋巴、造血和有关组织其他恶性肿瘤,7088,0,91,7179,68,58,0,126
D06,宫颈原位癌,511,0,348,859,0,0,0,0
D22-D23,皮肤良性肿瘤,1993,0,1220,3213,1,0,0,1
D24,乳房良性肿瘤,166,0,2038,2204,0,0,0,0
D25,子宫平滑肌瘤,4173,0,3666,7839,0,0,0,0
D27,卵巢良性肿瘤,263,0,976,1239,0,0,0,0
D30,泌尿器官良性肿瘤,70,0,58,128,0,0,0,0
D33,脑和中枢神经系统其他部位的良性肿瘤,184,0,177,361,1,0,0,1
"D00-D05, D07-D21, D26, D28-D29, D31-D32, D34-D48",其他原位、良性、动态未定或动态未知的肿瘤,19748,6,12982,32736,163,138,0,301
D50,缺铁性贫血,3054,15,226,3295,1,0,0,1
D51-D64,其他贫血,18058,15,939,19012,27,33,0,60
D65-D77,血液和造血器官的出血性情况及其他疾病,4580,3,342,4925,22,22,0,44
D80-D89,某些涉及免疫机制的疾患,690,4,33,727,6,0,0,6
E00-E02,碘缺乏相关性甲状腺疾患,1,0,1,2,0,0,0,0
E05,甲状腺毒症,1395,0,565,1960,3,3,0,6
"E03-E04, E06-E07",甲状腺其他疾患,3493,4,1869,5366,2,1,0,3
E10-E14,糖尿病,12145,178,619,12942,181,179,0,360
E40-E46,营养不良,32,0,10,42,2,3,0,5
E50,维生素A缺乏,0,0,0,0,0,0,0,0
E51-E56,其他维生素缺乏,132,0,2,134,0,2,0,2
E64,营养不良和其他营养缺乏的后遗症,0,0,0,0,0,0,0,0
E66,肥胖,743,0,66,809,0,1,0,1
E86,血容量缺失,1552,0,46,1598,3,6,0,9
"E15-E35, E58-E63, E65, E67-E85, E87-E90",其他内分泌、营养和代谢疾患,16529,0,922,17451,40,39,0,79
F00-F03,认知障碍症,4456,4,76,4536,388,611,0,999
F10,由于使用酒精引起的精神和行为障碍,1737,2,10,1749,2,0,0,2
F11-F19,使用其他精神活性物质引起的精神和行为障碍,2819,6242,2,9063,2,0,0,2
F20-F29,精神分裂症、分裂型障碍和妄想性障碍,9737,434,9,10180,0,0,0,0
F30-F39,心境[情感]障碍,4745,189,66,5000,0,0,0,0
F40-F48,神经症性、应激相关的以及躯体形式的障碍,4450,54,147,4651,0,0,0,0
F70-F79,精神发育迟滞,1643,3,1,1647,0,0,0,0
"F04-F09, F50-F69, F80-F99",其他精神和行为障碍,3287,80,76,3443,1,2,0,3
G00-G09,中枢神经系统炎性疾病,681,0,63,744,24,19,0,43
G20,帕金森病,1643,1,90,1734,60,52,0,112
G30,阿尔茨海默病,937,0,4,941,13,20,0,33
G35,多发性硬化,152,0,36,188,0,0,0,0
G40-G41,癫痫,5643,67,199,5909,11,10,0,21
G43-G44,偏头痛和其他头痛综合症,423,11,1050,1484,0,0,0,0
G45,短暂性大脑缺血性发作和相关的综合症,2020,1,276,2297,0,0,0,0
G50-G59,神经、神经根和神经丛疾患,2745,1,893,3639,0,0,0,0
G80-G83,大脑性麻痹[瘫痪]和其他麻痹[瘫痪]综合症,1110,6,33,1149,5,3,0,8
"G10-G14, G21-G26, G31-G32, G36-G37, G46-G47, G60-G73, G90-G99",神经系统其他疾患,12740,9,3053,15802,91,65,0,156
H00-H01,眼睑炎症,143,9,613,765,0,0,0,0
H10-H13,结膜炎和结膜的其他疾患,1559,45,212,1816,0,0,0,0
H15-H19,角膜炎以及巩膜和角膜的其他疾患,648,1,176,825,0,0,0,0
H25-H28,白内障和晶状体的其他疾患,28407,4,4035,32446,0,0,0,0
H33,视网膜脱离及断裂,1429,0,895,2324,0,0,0,0
H40-H42,青光眼,1457,0,230,1687,0,0,0,0
H49-H50,斜视,902,0,232,1134,0,0,0,0
H52,屈光和调节疾患,32,0,19,51,0,0,0,0
H54,视力损害包括盲(双眼或单眼),56,0,8,64,0,0,0,0
"H02-H06, H20-H22, H30-H32, H34-H36, H43-H48, H51, H53, H55-H59",眼和附器其他疾病,6325,20,2005,8350,1,0,0,1
H65-H75,中耳炎以及中耳和乳突其他疾患,2202,0,1013,3215,0,0,0,0
H90-H91,听觉丧失,879,2,368,1249,0,0,0,0
"H60-H62, H80-H83, H92-H95",中耳和乳突其他疾患,2592,8,2310,4910,0,0,0,0
I00-I02,急性风湿热,8,0,5,13,0,0,0,0
I05-I09,慢性风湿性心脏病,1649,0,106,1755,25,40,0,65
I10,特发性(原发性)高血压,14089,203,1604,15896,52,65,0,117
I11,高血压性心脏病,551,19,25,595,220,246,0,466
I12,高血压性肾脏病,1437,0,11,1448,49,54,0,103
I13,高血压性心脏和肾脏病,1001,1,5,1007,3,11,0,14
I15,继发性高血压,554,4,5,563,0,0,0,0
I21-I22,急性心肌梗死,4692,1,288,4981,1141,729,0,1870
"I20, I23-I25",其他缺血性心脏病,18659,11,6215,24885,1238,899,0,2137
I26,肺栓塞,524,0,74,598,20,28,0,48
I44-I49,传导疾患和心律失常,15701,4,1793,17498,56,92,0,148
I50,心力衰竭,18214,0,376,18590,314,467,0,781
"I27-I43, I51-I52",其他心脏病,3967,1,644,4612,193,112,0,305
I60-I62,颅内出血,6374,0,223,6597,664,514,0,1178
I63,脑梗死,10859,0,188,11047,41,48,0,89
I64,中风，未特指为出血或梗死,3261,3,584,3848,556,630,0,1186
I65-I69,其他脑血管病,3614,0,274,3888,396,403,0,799
I70,动脉粥样硬化症,233,0,23,256,1,1,0,2
I73,其他周围血管疾病,861,0,52,913,14,23,0,37
I74,动脉栓塞和血栓形成,178,0,16,194,5,7,0,12
I71,主动脉动脉瘤和动脉壁夹层形成,1416,0,74,1490,218,112,0,330
"I72, I77-I79",其他动脉、小动脉和毛细管的其他疾病,544,0,156,700,24,12,0,36
I80-I82,静脉炎、血栓静脉炎、静脉栓塞和血栓形成,1646,2,170,1818,14,27,0,41
I83,下肢静脉曲张,2201,0,782,2983,4,1,0,5
I84,痔,7676,10,15414,23100,0,0,0,0
I85-I99,循环系统其他疾病,3378,38,830,4246,5,8,0,13
J02-J03,急性咽炎和急性扁桃体炎,1813,21,2525,4359,0,0,0,0
J04,急性喉炎和气管炎,58,10,86,154,0,0,0,0
"J00-J01, J05-J06",其他急性上呼吸道感染,14238,290,3853,18381,2,0,0,2
J09-J11,流行性感冒,3144,90,1582,4816,17,9,0,26
J12-J18,肺炎,51017,6,3987,55010,3690,3140,0,6830
J20-J21,急性支气管炎和急性细支气管炎,6823,0,4197,11020,0,3,0,3
J32,慢性鼻窦炎,397,0,836,1233,0,0,0,0
"J30-J31, J33-J34",鼻和鼻窦其他疾病,2188,48,2669,4905,0,0,0,0
J35,扁桃体和腺样体慢性疾病,619,0,706,1325,0,0,0,0
J36-J39,上呼吸道其他疾病,2377,106,1232,3715,4,5,0,9
J40-J44,支气管炎、肺气肿和其他慢性阻塞性肺病,26935,11,1325,28271,1197,284,0,1481
J45-J46,哮喘,7500,325,566,8391,31,43,0,74
J47,支气管扩张症,2559,0,278,2837,97,91,0,188
J60-J65,尘肺,113,0,4,117,39,0,0,39
"J22, J66-J99",呼吸系统其他疾病,14368,20,2452,16840,308,321,0,629
K02,龋(齿),843,18,89,950,0,0,0,0
"K00-K01, K03-K08",牙齿及支持结构的其他疾患,2518,3,287,2808,1,0,0,1
K09-K14,口腔、涎腺和颌的其他疾病,1616,1,958,2575,2,0,0,2
K25-K27,胃和十二指肠溃疡,6393,17,5298,11708,51,45,0,96
K29,胃炎和十二指肠炎,8642,3,39170,47815,2,3,0,5
"K20-K23, K28, K30-K31",食管、胃和十二指肠其他疾病,4972,47,8586,13605,11,6,0,17
K35-K38,阑尾疾病,2694,3,1223,3920,4,4,0,8
K40,腹股沟疝,7026,7,2699,9732,6,0,0,6
K41-K46,其他疝,1602,3,554,2159,3,7,0,10
K50-K51,克罗恩[克隆]病和溃伤性结肠炎,1141,0,327,1468,2,2,0,4
K56,无力性肠梗阻和肠梗阻不伴有疝,3024,0,461,3485,38,43,0,81
K57,肠憩室性疾病,3665,0,2084,5749,8,7,0,15
"K52-K55, K58-K67",肠和腹膜其他疾病,26176,19,15063,41258,153,144,0,297
K70,酒精性肝病,599,0,7,606,41,5,0,46
K73-K74,慢性肝病及肝硬化,983,1,126,1110,153,87,0,240
"K71-K72, K75-K76",其他肝病,4219,21,727,4967,91,46,0,137
K80-K81,胆石病和胆囊炎,9581,0,3271,12852,26,26,0,52
K85-K86,急性胰腺炎和胰腺其他疾病,2203,0,286,2489,35,42,0,77
"K82-K83, K87-K93",消化系统其他疾病,12910,36,621,13567,137,159,0,296
L00-L08,皮肤和皮下组织感染,15162,60,2085,17307,14,17,0,31
L10-L99,皮肤和皮下组织其他疾病,12379,68,5326,17773,55,89,0,144
M05-M14,类风湿性关节炎和其他炎性多关节病,9030,75,880,9985,12,10,0,22
M15-M19,关节病,5533,0,1019,6552,0,1,0,1
M20-M21,四肢后天性变形,1160,8,327,1495,0,0,0,0
"M00-M03, M22-M25",其他关节疾患,3292,56,1056,4404,9,6,0,15
M30-M36,全身性结缔组织疾患,3193,0,319,3512,11,39,0,50
M50-M51,颈和其他椎间盘疾患,732,0,2482,3214,0,0,0,0
"M40-M49, M53-M54",其他背部病,17423,22,4322,21767,12,8,0,20
M60-M79,软组织疾患,5650,15,3624,9289,35,14,0,49
M80-M85,骨密度和结构的疾患,1434,7,162,1603,0,1,0,1
M86,骨髓炎,314,0,28,342,4,3,0,7
M87-M99,肌肉骨骼系统和结缔组织其他疾病,1332,36,2595,3963,0,0,0,0
N00-N01,急性肾炎综合症和急进型肾炎综合症,18,0,16,34,2,0,0,2
N02-N08,其他肾小球疾病,1251,1,282,1534,12,14,0,26
N10-N16,肾小管间质疾病,4276,0,960,5236,8,21,0,29
N17-N19,肾衰竭,128964,9,683,129656,748,812,0,1560
N20-N23,尿石病,10608,3,4918,15529,4,4,0,8
N25-N27,其他肾脏疾病,94,0,26,120,1,0,0,1
N30,膀胱炎,1132,1,1651,2784,0,3,0,3
"N28-N29, N31-N39",泌尿系统其他疾病,23869,45,2682,26596,211,289,0,500
N40,前列腺增生,6646,0,2065,8711,6,0,0,6
N41-N42,前列腺其他疾患,101,0,429,530,2,0,0,2
N43,水囊肿[睪丸鞘膜积液]和精子囊肿,356,0,177,533,0,0,0,0
N47,包皮过长、包茎和包茎嵌顿,1329,1,499,1829,0,0,0,0
"N44-N46, N48-N51",男性生殖器官其他疾病,1853,6,2692,4551,6,0,0,6
N60-N64,乳房疾患,4298,1,2999,7298,0,0,0,0
N70,输卵管炎和卵巢炎,404,0,139,543,0,0,0,0
N72,宫颈炎性疾病,31,0,124,155,0,0,0,0
"N71, N73-N77",女性盆腔器官其他炎性疾病,2072,0,1194,3266,0,11,0,11
N80,子宫内膜异位,1140,0,941,2081,0,0,0,0
N81,女性生殖器脱垂,1114,0,167,1281,0,0,0,0
N83,卵巢、输卵管和阔韧带的非炎性疾患,2266,0,1805,4071,0,0,0,0
N91-N92,月经疾患,2916,3,879,3798,0,0,0,0
N95,绝经期和其他围绝经期的疾患,3260,0,552,3812,0,0,0,0
N97,女性不育症,4377,0,70,4447,0,0,0,0
"N82, N84-N90, N93-N94, N96, N98-N99",泌尿生殖道其他疾患,7534,19,7525,15078,0,2,0,2
O03,自然流产,3205,0,610,3815,0,0,0,0
O04,医疗性流产,918,21,5063,6002,0,0,0,0
"O00-O02, O05-O08",其他流产结局的妊娠,6214,11,1787,8012,0,0,0,0
O10-O16,妊娠、分娩和产褥期的水肿、蛋白尿和高血压疾患,2546,1,72,2619,0,0,0,0
O44-O46,前置胎盘、胎盘的过早分离和产前出血,3265,0,122,3387,0,0,0,0
"O30-O43, O47-O48",与胎儿和羊膜腔及可能的分娩问题有关的其他孕产妇医疗,16572,0,2031,18603,0,0,0,0
O64-O66,梗阻性分娩,143,0,23,166,0,0,0,0
O72,产后出血,1136,0,39,1175,0,0,0,0
"O20-O29, O60-O63, O67-O71, O73-O75, O81-O84",妊娠和分娩的其他并发症,24868,71,14135,39074,0,0,0,0
O80,单胎顺产,9543,6,4368,13917,0,0,0,0
O85-O99,主要与产褥期和其他产科情况有关的并发症，不可归类在他处者,13399,0,89,13488,0,0,0,0
P00-P04,胎儿和新生儿受母体因素和妊娠、产程和分娩并发症的影响,3595,0,1,3596,1,0,0,1
P05-P07,胎儿生长缓慢、胎儿营养不良和与孕期短和低出生体重有关的疾患,2988,0,104,3092,7,6,0,13
P10-P15,产伤,204,0,17,221,0,0,0,0
P20-P21,子宫内低氧症和出生窒息,1873,0,3,1876,1,0,0,1
P22-P28,起源于围生期的其他呼吸性疾患,1594,0,115,1709,5,5,0,10
P35-P37,先天性传染病和寄生虫病,954,0,38,992,0,1,0,1
P38-P39,特发于围生期的其他感染,242,0,8,250,0,0,0,0
P55,胎儿和新生儿的溶血性疾病,135,0,2,137,0,0,0,0
"P08, P29, P50-P54, P56-P96",起源于围生期的其他情况,19035,0,1320,20355,6,7,0,13
Q05,脊柱裂,85,0,4,89,0,0,0,0
"Q00-Q04, Q06-Q07",神经系统其他先天性畸形,170,0,20,190,3,1,0,4
Q20-Q28,循环系统先天性畸形,5090,0,109,5199,19,12,0,31
Q35-Q37,唇裂和颚裂,309,0,57,366,0,0,0,0
Q41,小肠先天性缺如、闭锁和狭窄,15,0,1,16,1,1,0,2
"Q38-Q40, Q42-Q45",消化系统其他先天性畸形,677,0,108,785,1,1,0,2
Q53,睪丸未降,367,0,93,460,0,0,0,0
"Q50-Q52, Q54-Q64",泌尿生殖系统其他畸形,924,2,146,1072,4,4,0,8
Q65,髋先天性变形,53,0,12,65,0,0,0,0
Q66,足先天性变形,158,0,17,175,0,0,0,0
Q67-Q79,肌肉骨骼系统其他先天性畸形和变形,857,0,64,921,1,0,0,1
"Q10-Q18, Q30-Q34, Q80-Q89",其他先天性畸形,1931,1,234,2166,5,2,0,7
Q90-Q99,染色体异常，不可归类在他处者,208,0,0,208,2,3,0,5
R10,腹部和盆腔痛,20996,141,4649,25786,0,0,0,0
R50,其他原因和原因不明的发热,7371,144,489,8004,0,1,0,1
R54,衰老,5,13,3,21,324,565,0,889
"R00-R09, R11-R49, R51-R53, R55-R99",其他症状、体征和临床与实验室异常所见，不可归类在他处者,129362,3625,13630,146617,388,143,6,537
S02,颅骨和面骨骨折,871,1,245,1117,9,2,0,11
"S12, S22, S32, T08",颈部、胸部或骨盆骨折,3590,1,356,3947,7,4,0,11
S72,股骨骨折,10147,0,247,10394,17,19,0,36
"S42, S52, S62, S82, S92, T10, T12",其他四肢骨的骨折,17680,27,2490,20197,0,2,0,2
T02,累及身体多个部位的骨折,1,0,37,38,1,1,0,2
"S03, S13, S23, S33, S43, S53, S63, S73, S83, S93, T03",特指和身体多个部位的脱位、扭伤和劳损,3693,59,4638,8390,0,0,0,0
S05,眼和眶损伤,221,3,122,346,0,0,0,0
S06,颅内损伤,11561,0,98,11659,76,47,0,123
"S26-S27, S36-S37",其他内部器官损伤,251,0,37,288,3,5,0,8
"S07-S08, S17-S18, S28, S38, S47-S48, S57-S58, S67-S68, S77-S78, S87-S88, S97-S98, T04-T05",特指和身体多个部位的挤压伤和创伤性截断,764,3,112,879,3,0,0,3
"S00-S01, S04, S09-S11, S14-S16, S19-S21, S24-S25, S29-S31, S34-S35, S39-S41, S44-S46, S49-S51, S54-S56, S59-S61, S64-S66, S69-S71, S74-S76, S79-S81, S84-S86, S89-S91, S94-S96, S99, T00-T01, T06-T07, T09, T11, T13-T14",特指、未特指和身体多个部位的其他损伤,14902,89,9060,24051,512,283,0,795
T15-T19,通过自然腔口进入异物的效应,2438,0,397,2835,62,45,0,107
T20-T32,烧伤和腐蚀伤,957,1,84,1042,13,4,0,17
T36-T50,药物和生物制品中毒,2588,0,22,2610,120,42,0,162
T51-T65,主要为非药用物质的毒性效应,229,0,25,254,112,55,0,167
T74,虐待综合症,738,0,0,738,0,0,0,0
"T33-T35, T66-T73, T75-T78",外因的其他和未特指效应,1768,1,217,1986,241,137,0,378
T79-T88,创伤的某些早期并发症以及手术和医疗并发症，不可归类在他处者,6516,0,474,6990,26,12,0,38
T90-T98,损伤、中毒和外因的其他后果的后遗症,59,0,17,76,0,0,0,0
Z00-Z13,为检查和调查而与保健机构接触的人,36911,1467,1669,40047,0,0,0,0
Z21,无症状的人类免疫缺陷病毒感染状态,17,0,1,18,0,0,0,0
"Z20, Z22-Z29",具有与传染病有关的潜在健康危害的其他人,1023,0,15,1038,0,0,0,0
Z30,避孕问题,116,0,114,230,0,0,0,0
Z34-Z36,出生前筛选和其他妊娠监督,12302,5,31,12338,0,0,0,0
Z38,按照出生地点划分活产婴儿,17065,0,19011,36076,0,0,0,0
Z39,产后医疗和检查,0,0,0,0,0,0,0,0
Z40-Z54,为特殊操作和卫生保健而与保健机构接触的人,14136,3684,3417,21237,0,0,0,0
"Z31-Z33, Z37, Z55-Z99",为其他原因而与保健机构接触的人,17780,3,322,18105,0,0,0,0
,诊断不详,36112,0,6,36118,0,0,0,0
,合计,1552627,18797,362376,1933800,24149,19244,6,43399
