《疾病和有关健康问题的国际统计分类》第十次修订本的详细序号,疾病类别,住院病人出院及死亡人次*-医院管理局辖下医院,住院病人出院及死亡人次*-惩教署辖下医院,住院病人出院及死亡人次*-私家医院,住院病人出院及死亡人次*-合计,全港登记死亡人数-男性,全港登记死亡人数-女性,全港登记死亡人数-性别不详,全港登记死亡人数-合计
A00,霍乱,3,0,0,3,0,0,0,0
A01,伤寒和副伤寒,65,0,17,82,0,1,0,1
A03,志贺菌病,13,0,6,19,0,0,0,0
A06,阿米巴病,4,0,10,14,0,0,0,0
"A02, A04-A05, A07-A08",其他肠道传染病,3528,10,1355,4893,11,16,0,27
A09,其他传染性或未特指病因的胃肠炎和结肠炎,12269,5,5954,18228,14,20,0,34
A15-A16,呼吸道结核病,3371,32,152,3555,115,31,0,146
A17-A19,其他结核病,574,1,56,631,21,10,0,31
A20,鼠疫,0,0,0,0,0,0,0,0
A23,布鲁氏菌病,1,0,0,1,0,0,0,0
A30,麻风,4,0,0,4,0,0,0,0
A33,新生儿破伤风,0,0,0,0,0,0,0,0
A34-A35,其他破伤风,0,0,0,0,0,0,0,0
A36,白喉,1,0,0,1,0,0,0,0
A37,百日咳,13,0,1,14,0,0,0,0
A39,脑膜炎球菌感染,1,0,0,1,0,0,0,0
A40-A41,败血病,9692,0,282,9974,406,446,0,852
"A21-A22, A24-A28, A31-A32, A38, A42-A49",其他细菌性疾病,2191,3,409,2603,13,6,0,19
A50,先天性梅毒,0,0,1,1,0,0,0,0
A51,早期梅毒,13,0,0,13,0,0,0,0
A52-A53,其他梅毒,235,0,7,242,0,0,0,0
A54,淋球菌感染,4,0,1,5,0,0,0,0
A55-A56,性传播的衣原体疾病,12,0,0,12,0,0,0,0
A57-A64,其他主要为性传播模式的感染,266,0,64,330,0,1,0,1
A68,回归热,0,0,0,0,0,0,0,0
A71,沙眼,0,0,0,0,0,0,0,0
A75,斑疹伤寒,28,0,6,34,0,1,0,1
A80,急性脊髓灰质炎,0,0,0,0,0,0,0,0
A82,狂犬病,0,0,0,0,0,0,0,0
A83-A86,病毒性脑炎,31,0,6,37,0,3,0,3
A95,黄热病,0,0,0,0,0,0,0,0
"A90-A94, A96-A99",其他节肢动物媒介的病毒性发热和病毒性出血热,66,0,24,90,0,0,0,0
B00,疱疹病毒感染,426,0,58,484,0,0,0,0
B01-B02,水痘和带状疱疹,1299,24,193,1516,0,3,0,3
B05,麻疹,22,0,6,28,0,0,0,0
B06,风疹,4,0,1,5,0,0,0,0
B15,急性甲型肝炎,27,0,14,41,0,0,0,0
B16,急性乙型肝炎,360,0,80,440,9,3,0,12
B17,其他急性病毒性肝炎,65,0,43,108,2,0,0,2
B18,慢性病毒性肝炎,1551,0,35,1586,6,4,0,10
B19,未特指的病毒性肝炎,4,0,27,31,1,0,0,1
B20-B24,人类免疫缺陷病毒病,250,0,10,260,16,4,0,20
B26,流行性腮腺炎,7,0,4,11,0,0,0,0
"A81, A87-A89, B03-B04, B07-B09, B25, B27-B34",其他病毒性疾病,8565,12,3927,12504,8,10,0,18
B35-B49,霉菌病,389,0,69,458,10,5,0,15
B50-B54,疟疾,23,0,4,27,0,0,0,0
B55,利什曼病,0,0,0,0,0,0,0,0
B56-B57,锥虫病,0,0,0,0,0,0,0,0
B65,血吸虫病,1,0,0,1,0,0,0,0
B66,其他吸虫感染,4,0,0,4,0,0,0,0
